thousand_class_id,wnid,label,sixteen_class_id,mid_map
1,n01824575,bird,3,0
2,n02093754,dog,10,1
12,n01828970,bird,3,2
13,n02093859,dog,10,3
23,n01829413,bird,3,4
24,n02093991,dog,10,5
34,n01833805,bird,3,6
35,n02094114,dog,10,7
45,n01843065,bird,3,8
46,n02094258,dog,10,9
54,n04612504,boat,4,10
56,n01843383,bird,3,11
57,n02094433,dog,10,12
68,n02095314,dog,10,13
74,n03977966,truck,15,14
78,n01855032,bird,3,15
79,n02095570,dog,10,16
88,n01514859,bird,3,17
89,n01855672,bird,3,18
90,n02095889,dog,10,19
91,n02123045,cat,7,20
94,n03344393,boat,4,21
100,n01860187,bird,3,22
101,n02096051,dog,10,23
102,n02123159,cat,7,24
105,n03345487,truck,15,25
107,n03983396,bottle,5,26
110,n01530575,bird,3,27
113,n02123394,cat,7,28
121,n01531178,bird,3,29
123,n02096294,dog,10,30
124,n02123597,cat,7,31
132,n01532829,bird,3,32
134,n02096437,dog,10,33
135,n02124075,cat,7,34
143,n01534433,bird,3,35
145,n02096585,dog,10,36
146,n02125311,cat,7,37
149,n03376595,chair,8,38
154,n01537544,bird,3,39
156,n02097047,dog,10,40
165,n01558993,bird,3,41
167,n02097130,dog,10,42
176,n01560419,bird,3,43
178,n02097209,dog,10,44
189,n02097298,dog,10,45
192,n02951358,boat,4,46
198,n01582220,bird,3,47
200,n02097474,dog,10,48
209,n01592084,bird,3,49
211,n02097658,dog,10,50
216,n03770679,truck,15,51
220,n01601694,bird,3,52
222,n02098105,dog,10,53
233,n02098286,dog,10,54
234,n02132136,bear,1,55
235,n02504013,elephant,11,56
242,n01614925,bird,3,57
245,n02133161,bear,1,58
246,n02504458,elephant,11,59
253,n01616318,bird,3,60
255,n02099267,dog,10,61
256,n02134084,bear,1,62
259,n03417042,truck,15,63
264,n01622779,bird,3,64
266,n02099429,dog,10,65
267,n02134418,bear,1,66
277,n02099601,dog,10,67
288,n02099712,dog,10,68
299,n02099849,dog,10,69
310,n02100236,dog,10,70
321,n02100583,dog,10,71
332,n02100735,dog,10,72
343,n02100877,dog,10,73
354,n02101006,dog,10,74
365,n02101388,dog,10,75
376,n02101556,dog,10,76
381,n03792782,bicycle,2,77
387,n02102040,dog,10,78
397,n02002556,bird,3,79
398,n02102177,dog,10,80
408,n02002724,bird,3,81
409,n02102318,dog,10,82
415,n04099969,chair,8,83
419,n02006656,bird,3,84
420,n02102480,dog,10,85
425,n03796401,truck,15,86
426,n04111531,oven,14,87
427,n04429376,chair,8,88
430,n02007558,bird,3,89
431,n02102973,dog,10,90
441,n02009229,bird,3,91
442,n02104029,dog,10,92
444,n02690373,airplane,0,93
452,n02009912,bird,3,94
453,n02104365,dog,10,95
463,n02011460,bird,3,96
464,n02105056,dog,10,97
475,n02105162,dog,10,98
485,n02013706,bird,3,99
486,n02105251,dog,10,100
489,n03041632,knife,13,101
496,n02017213,bird,3,102
499,n02708093,clock,9,103
504,n04461696,truck,15,104
507,n02018207,bird,3,105
508,n02105505,dog,10,106
518,n02018795,bird,3,107
519,n02105641,dog,10,108
529,n02025239,bird,3,109
530,n02105855,dog,10,110
537,n04467665,truck,15,111
540,n02027492,bird,3,112
541,n02106030,dog,10,113
551,n02028035,bird,3,114
552,n02106166,dog,10,115
562,n02033041,bird,3,116
563,n02106382,dog,10,117
573,n02037110,bird,3,118
574,n02106550,dog,10,119
584,n02051845,bird,3,120
585,n02106662,dog,10,121
588,n03085013,keyboard,12,122
595,n02056570,bird,3,123
596,n02107142,dog,10,124
607,n02107312,dog,10,125
618,n02107574,dog,10,126
621,n03100240,car,6,127
629,n02107683,dog,10,128
640,n02107908,dog,10,129
651,n02108000,dog,10,130
653,n02791124,chair,8,131
658,n04505470,keyboard,12,132
672,n02085782,dog,10,133
673,n02108422,dog,10,134
683,n02085936,dog,10,135
684,n02108551,dog,10,136
694,n02086079,dog,10,137
695,n02108915,dog,10,138
705,n02086240,dog,10,139
706,n02109047,dog,10,140
716,n02086646,dog,10,141
717,n02109525,dog,10,142
727,n02086910,dog,10,143
728,n02109961,dog,10,144
738,n02087046,dog,10,145
739,n02110063,dog,10,146
749,n02087394,dog,10,147
750,n02110185,dog,10,148
760,n02088094,dog,10,149
771,n02088238,dog,10,150
772,n02110627,dog,10,151
782,n02088364,dog,10,152
783,n02110806,dog,10,153
793,n02088466,dog,10,154
794,n02110958,dog,10,155
796,n02814533,car,6,156
804,n02088632,dog,10,157
805,n02111129,dog,10,158
812,n04548280,clock,9,159
815,n02089078,dog,10,160
816,n02111277,dog,10,161
826,n02089867,dog,10,162
827,n02111500,dog,10,163
830,n03196217,clock,9,164
837,n02089973,dog,10,165
840,n02823428,bottle,5,166
848,n02090379,dog,10,167
849,n02112018,dog,10,168
859,n02090622,dog,10,169
870,n02090721,dog,10,170
871,n02112350,dog,10,171
875,n03662601,boat,4,172
878,n04557648,bottle,5,173
880,n01795545,bird,3,174
881,n02091032,dog,10,175
882,n02112706,dog,10,176
884,n02835271,bicycle,2,177
887,n03930630,truck,15,178
889,n04560804,bottle,5,179
891,n01796340,bird,3,180
892,n02091134,dog,10,181
893,n02113023,dog,10,182
902,n01797886,bird,3,183
903,n02091244,dog,10,184
911,n04579145,bottle,5,185
913,n01798484,bird,3,186
914,n02091467,dog,10,187
915,n02113624,dog,10,188
920,n03937543,bottle,5,189
925,n02091635,dog,10,190
926,n02113712,dog,10,191
936,n02091831,dog,10,192
937,n02113799,dog,10,193
947,n02092002,dog,10,194
948,n02113978,dog,10,195
954,n04273569,boat,4,196
957,n01817953,bird,3,197
958,n02092339,dog,10,198
968,n01818515,bird,3,199
969,n02093256,dog,10,200
977,n04591713,bottle,5,201
979,n01819313,bird,3,202
980,n02093428,dog,10,203
987,n04285008,car,6,204
990,n01820546,bird,3,205
991,n02093647,dog,10,206
